temps;Consigne tangage PC;Effort milli N
4,002;51;441
4,015;51;441
4,024;51;432
4,032;51;432
4,045;51;432
4,053;51;422
4,064;51;422
4,073;51;432
4,083;51;422
4,103;51;422
4,113;51;432
4,132;51;432
4,143;51;432
4,154;51;432
4,162;51;432
4,173;51;432
4,184;51;432
4,194;51;432
4,203;51;432
4,213;51;441
4,222;51;432
4,241;51;441
4,252;51;432
4,263;51;441
4,273;51;432
4,284;51;432
4,292;51;432
4,303;51;432
4,312;51;432
4,322;51;432
4,333;51;441
4,352;51;432
4,363;51;432
4,374;51;432
4,384;51;432
4,393;51;422
4,403;51;422
4,412;51;432
4,423;51;432
4,433;51;432
4,442;51;441
4,461;51;432
4,474;51;432
4,482;51;432
4,495;51;432
4,504;51;432
4,514;51;432
4,523;51;432
4,531;51;432
4,542;51;441
4,553;51;441
4,563;51;432
4,572;51;432
4,583;51;432
4,595;51;441
4,61;51;432
4,627;51;422
4,632;51;432
4,642;51;432
4,653;51;432
4,664;51;432
4,672;51;432
4,683;51;441
4,691;51;432
4,711;51;432
4,721;51;432
4,732;51;422
4,743;51;422
4,76;51;422
4,777;51;432
4,783;51;422
4,794;51;422
4,802;51;422
4,813;51;422
4,822;51;432
4,832;51;432
4,843;51;432
4,854;51;432
4,862;51;441
4,873;51;432
4,881;51;441
4,892;51;441
4,903;51;441
4,911;51;441
4,924;51;451
4,937;51;451
4,941;51;441
4,952;51;451
4,962;51;441
4,971;51;432
4,982;51;441
4,992;51;441
5,001;51;432
5,011;51;441
5,022;51;441
5,041;51;441
5,052;51;451
5,063;51;451
5,073;51;441
5,082;51;441
5,095;51;441
5,103;51;441
5,112;51;441
5,122;51;441
5,131;51;441
5,142;51;441
5,152;51;441
5,161;51;441
5,174;51;441
5,182;51;441
5,191;51;451
5,201;51;441
5,212;51;451
5,223;40;432
5,231;40;441
5,242;40;441
5,261;40;441
5,272;40;432
5,282;40;441
5,291;40;441
5,302;40;441
5,312;40;441
5,323;40;441
5,331;40;451
5,342;40;441
5,353;40;441
5,361;40;451
5,372;40;451
5,383;40;441
5,4;40;451
5,412;40;441
5,421;40;432
5,432;40;441
5,44;40;451
5,453;40;451
5,462;40;451
5,47;40;461
5,481;40;461
5,491;40;461
5,511;40;461
5,521;40;461
5,532;40;461
5,54;40;471
5,551;40;471
5,562;40;471
5,57;40;471
5,581;40;471
5,592;40;471
5,6;40;471
5,611;40;471
5,622;40;481
5,632;40;481
5,641;40;471
5,651;40;471
5,66;40;471
5,671;40;481
5,681;40;471
5,69;40;471
5,7;40;471
5,711;40;471
5,73;40;481
5,741;40;481
5,752;40;481
5,76;40;481
5,771;40;481
5,782;40;481
5,79;40;481
5,801;40;490
5,811;40;481
5,82;40;481
5,831;40;471
5,841;40;481
5,85;40;481
5,86;40;471
5,871;40;471
5,88;40;471
5,89;40;471
5,901;40;471
5,91;40;481
5,92;40;471
5,931;40;461
5,939;40;471
5,95;40;471
5,961;40;471
5,971;40;461
5,98;40;471
5,991;40;481
6,001;40;471
6,01;40;461
6,02;40;471
6,031;40;481
6,04;40;471
6,05;40;471
6,061;40;481
6,07;40;481
6,08;40;471
6,091;40;471
6,099;40;490
6,11;40;490
6,121;40;481
6,129;40;481
6,14;40;481
6,151;40;490
6,159;40;481
6,17;40;481
6,18;40;481
6,2;40;481
6,21;40;471
6,23;40;471
6,24;40;471
6,251;40;481
6,259;40;481
6,27;40;471
6,281;40;481
6,289;40;481
6,3;40;481
6,311;40;481
6,319;40;471
6,33;40;471
6,34;40;471
6,349;40;471
6,36;40;471
6,37;40;461
6,379;40;461
6,39;40;471
6,4;40;471
6,409;40;461
6,419;40;461
6,43;40;471
6,449;40;471
6,46;40;471
6,471;40;471
6,479;40;461
6,49;40;471
6,5;40;471
6,509;40;471
6,52;40;461
6,53;40;461
6,539;40;471
6,55;40;471
6,56;40;461
6,569;40;471
6,579;40;471
6,59;40;461
6,599;40;461
6,609;40;461
6,62;40;461
6,628;40;461
6,641;40;461
6,65;40;461
6,669;40;461
6,68;40;461
6,69;40;471
6,699;40;471
6,71;40;461
6,72;40;461
6,729;40;471
6,739;40;471
6,75;40;461
6,759;40;471
6,769;40;471
6,78;40;461
6,788;40;461
6,799;40;471
6,81;40;471
6,82;40;461
6,829;40;461
6,84;40;471
6,85;40;471
6,859;40;471
6,87;40;471
6,88;40;471
6,889;40;471
6,899;40;471
6,91;40;471
6,919;40;471
6,929;40;461
6,94;40;471
6,959;40;461
6,97;40;471
6,989;40;481
7;40;481
7,01;40;471
7,019;40;471
7,03;40;471
7,04;40;471
7,049;40;471
7,059;40;471
7,07;40;471
7,079;40;461
7,089;40;471
7,1;40;471
7,108;40;461
7,119;40;461
7,13;40;461
7,138;40;461
7,149;40;461
7,16;40;451
7,172;40;461
7,183;40;471
7,19;40;461
7,198;40;461
7,209;40;461
7,219;40;461
7,228;40;461
7,239;40;461
7,249;40;471
7,258;40;461
7,271;40;461
7,279;40;471
7,29;40;471
7,301;40;471
7,313;40;471
7,324;40;461
7,328;40;471
7,339;40;471
7,358;40;481
7,369;40;471
7,379;40;471
7,388;40;481
7,399;40;481
7,409;40;471
7,418;40;471
7,428;40;481
7,439;30;481
7,45;30;481
7,458;30;481
7,469;30;481
7,48;30;481
7,497;30;490
7,507;30;490
7,518;30;481
7,529;30;481
7,539;30;481
7,55;30;481
7,559;30;490
7,569;30;481
7,58;30;471
7,589;30;481
7,599;30;471
7,61;30;461
7,618;30;471
7,629;30;471
7,64;30;471
7,648;30;471
7,661;30;481
7,67;30;481
7,68;30;481
7,689;30;481
7,697;30;481
7,708;30;481
7,719;30;481
