temps;TPC;TV;APEG
temps;Consigne tangage PC;Gyromètre;Angle Pivot
0586.233; 0051; 0005;-07090
0000.008; 0051; 0007;-07110
0000.022; 0051; 0007;-07090
0000.032; 0051; 0007;-07070
0000.040; 0051; 0005;-07090
0000.048; 0051; 0007;-07070
0000.059; 0051; 0003;-07070
0000.070; 0051; 0001;-07090
0000.080; 0051; 0005;-07110
0000.091; 0051; 0005;-07090
0000.099; 0051; 0001;-07110
0000.110; 0051; 0001;-07090
0000.120; 0051; 0001;-07110
0000.131; 0051; 0001;-07090
0000.139; 0051; 0001;-07090
0000.150; 0051; 0003;-07090
0000.168; 0051;-0003;-07090
0000.179; 0051;-0007;-07130
0000.190; 0051;-0003;-07090
0000.208; 0051; 0001;-07090
0000.219; 0051; 0007;-07090
0000.230; 0051; 0001;-07090
0000.248; 0051; 0001;-07090
0000.259; 0051; 0005;-07090
0000.270; 0051; 0009;-07070
0000.278; 0051; 0007;-07090
0000.288; 0051; 0007;-07090
0000.299; 0051; 0007;-07070
0000.310; 0051; 0007;-07070
0000.318; 0051; 0005;-07110
0000.328; 0051; 0003;-07110
0000.339; 0051; 0009;-07070
0000.350; 0051; 0007;-07090
0000.358; 0051; 0001;-07110
0000.368; 0051;-0001;-07290
0000.379; 0051; 0003;-07090
0000.390; 0051; 0001;-07090
0000.398; 0051; 0005;-07070
0000.408; 0051;-0001;-07070
0000.419; 0051; 0001;-07110
0000.430; 0051; 0001;-07070
0000.448; 0051; 0027;-06910
0000.459; 0051; 0007;-07070
0000.470; 0051; 0009;-07090
0000.478; 0051; 0007;-07090
0000.488; 0051; 0005;-07110
0000.499; 0051; 0005;-07070
0000.510; 0051; 0001;-07090
0000.518; 0051; 0005;-07090
0000.528; 0051; 0007;-07070
0000.539; 0051; 0009;-07090
0000.550; 0051; 0005;-07070
0000.558; 0051;-0001;-07090
0000.568; 0051; 0001;-07110
0000.579; 0051; 0005;-07090
0000.590; 0051; 0007;-07070
0000.600; 0051; 0007;-07090
0000.608; 0051; 0005;-07090
0000.619; 0051; 0009;-07070
0000.630; 0051; 0007;-07090
0000.640; 0051; 0011;-07090
0000.648; 0051; 0007;-07090
0000.659; 0051; 0001;-07110
0000.667; 0051; 0009;-07090
0000.678; 0051; 0005;-07090
0000.688; 0051;-0001;-07110
0000.699; 0051;-0001;-07110
0000.707; 0051; 0001;-07090
0000.720; 0051; 0005;-07090
0000.728; 0051; 0005;-07090
0000.739; 0051; 0005;-07110
0000.750; 0051; 0003;-07070
0000.758; 0051; 0005;-07070
0000.771; 0051; 0001;-07110
0000.779; 0051; 0001;-07070
0000.787; 0051; 0003;-07070
0000.798; 0051; 0001;-07090
0000.808; 0051; 0007;-07090
0000.819; 0051; 0005;-07070
0000.827; 0051; 0001;-07090
0000.838; 0051;-0001;-07090
0000.848; 0051;-0003;-07090
0000.859; 0051; 0001;-07090
0000.867; 0051;-0001;-07110
0000.878; 0051;-0001;-07070
0000.888; 0051; 0005;-07090
0000.899; 0051; 0001;-07070
0000.910; 0051; 0007;-07070
0000.918; 0051; 0005;-07090
0000.928; 0051; 0001;-07090
0000.939; 0051; 0007;-07070
0000.947; 0051; 0007;-07090
0000.958; 0051; 0007;-07090
0000.968; 0051; 0003;-07090
0000.979; 0051; 0001;-07070
0000.987; 0051;-0003;-07110
0000.998; 0051;-0003;-07090
0001.008; 0051;-0005;-07090
0001.019; 0051;-0003;-07090
0001.027; 0051; 0005;-07070
0001.038; 0051; 0001;-07090
0001.048; 0051; 0007;-07090
0001.059; 0051; 0007;-07110
0001.067; 0051; 0013;-07070
0001.078; 0051; 0011;-07090
0001.088; 0051; 0009;-07070
0001.099; 0051; 0011;-07070
0001.107; 0051; 0009;-07090
0001.118; 0051; 0001;-07090
0001.128; 0051; 0005;-07090
0001.147; 0051; 0005;-07090
0001.158; 0051; 0007;-07090
0001.168; 0051; 0005;-07090
0001.176; 0051; 0001;-07090
0001.187; 0051; 0001;-07070
0001.198; 0051; 0005;-07070
0001.208; 0051; 0003;-07070
0001.216; 0051;-0001;-07110
0001.227; 0051; 0001;-07110
0001.238; 0051; 0007;-07070
0001.248; 0051; 0007;-07070
0001.259; 0051; 0007;-07070
0001.267; 0051; 0007;-07070
0001.278; 0051; 0003;-07090
0001.288; 0051; 0001;-07090
0001.296; 0051; 0005;-07070
0001.310; 0051; 0005;-07090
0001.318; 0051;-0005;-07090
0001.328; 0051; 0001;-07090
0001.336; 0051; 0001;-07090
0001.347; 0051; 0007;-07070
0001.358; 0051; 0005;-07090
0001.368; 0051; 0007;-07070
0001.376; 0051; 0007;-07090
0001.387; 0051; 0005;-07070
0001.398; 0051; 0005;-07090
0001.408; 0051; 0001;-07090
0001.416; 0051;-0001;-07110
0001.427; 0051; 0007;-07070
0001.438; 0051; 0007;-07090
0001.448; 0051; 0005;-07090
0001.459; 0051; 0009;-07070
0001.467; 0051; 0009;-07090
0001.478; 0051; 0005;-07090
0001.488; 0051; 0007;-07090
0001.496; 0051; 0009;-07070
0001.507; 0051; 0009;-07070
0001.518; 0051; 0009;-07070
0001.528; 0051; 0001;-07090
0001.536; 0051; 0007;-07070
0001.547; 0051; 0007;-07070
0001.558; 0051; 0001;-07070
0001.576; 0051;-0001;-07090
0001.587; 0051; 0003;-07070
0001.598; 0051; 0001;-07070
0001.616; 0051; 0007;-07070
0001.627; 0051; 0007;-07070
0001.638; 0051; 0003;-07090
0001.646; 0051; 0001;-07090
0001.659; 0051; 0003;-07090
0001.667; 0051; 0001;-07090
0001.678; 0051;-0001;-07090
0001.686; 0051;-0005;-07090
0001.696; 0051; 0001;-07090
0001.707; 0051; 0003;-07070
0001.718; 0051; 0001;-07090
0001.726; 0051; 0005;-07090
0001.736; 0051;-0001;-07110
0001.747; 0051; 0001;-07070
0001.758; 0051; 0001;-07090
0001.766; 0051; 0009;-07090
0001.776; 0051; 0007;-07090
0001.787; 0051; 0001;-07090
0001.798; 0051; 0001;-07090
0001.808; 0051; 0019;-07030
0001.816; 0051; 0011;-07070
0001.827; 0051; 0007;-07070
0001.838; 0051; 0007;-07070
0001.846; 0051; 0007;-07090
0001.856; 0051; 0007;-07090
0001.867; 0051; 0009;-07070
0001.878; 0051; 0007;-07110
0001.886; 0051; 0009;-07070
0001.896; 0051; 0009;-07110
0001.907; 0051; 0001;-07070
0001.918; 0051;-0003;-07090
0001.926; 0051;-0001;-07090
0001.936; 0051; 0001;-07090
0001.947; 0051; 0009;-07090
0001.958; 0051; 0005;-07090
0001.966; 0051; 0007;-07090
0001.976; 0051; 0011;-07070
0001.987; 0051; 0005;-07070
0001.998; 0051; 0005;-07070
0002.008; 0051; 0005;-07070
0002.016; 0051; 0005;-07090
0002.027; 0051; 0005;-07070
0002.046; 0051; 0005;-07090
0002.056; 0051; 0003;-07090
0002.067; 0051; 0005;-07070
0002.086; 0051; 0005;-07070
0002.096; 0051; 0007;-07090
0002.107; 0051; 0007;-07090
0002.118; 0051; 0003;-07090
0002.126; 0051; 0005;-07070
0002.136; 0051; 0009;-07070
0002.147; 0051; 0007;-07110
0002.158; 0051; 0009;-07090
0002.168; 0051; 0005;-07070
0002.176; 0051; 0001;-07090
0002.187; 0051;-0001;-07090
0002.195; 0051; 0001;-07090
0002.206; 0051; 0001;-07110
0002.216; 0051; 0005;-07090
0002.227; 0051; 0007;-07090
0002.235; 0051; 0009;-07090
0002.246; 0051; 0013;-07070
0002.256; 0051; 0005;-07090
0002.267; 0051; 0007;-07090
0002.278; 0051; 0003;-07110
0002.286; 0051; 0005;-07070
0002.296; 0051; 0009;-07070
0002.307; 0051; 0009;-07110
0002.326; 0051; 0005;-07090
0002.336; 0051; 0007;-07090
0002.347; 0051; 0005;-07070
0002.358; 0051; 0005;-07070
0002.366; 0051; 0005;-07110
0002.376; 0051; 0017;-06910
0002.387; 0051; 0009;-07070
0002.395; 0051; 0007;-07090
0002.406; 0051; 0007;-07090
0002.416; 0051; 0007;-07090
0002.427; 0051; 0007;-07090
0002.435; 0051; 0005;-07110
0002.446; 0051; 0005;-07070
0002.456; 0051; 0001;-07090
0002.467; 0051; 0001;-07090
0002.475; 0051; 0005;-07090
