temps;APEG
temps;Angle Pivot
356.668;40
356.686;20
356.699;20
356.718;20
356.729;40
356.745;20
356.761;40
356.779;0
356.793;20
356.809;20
356.824;40
356.841;40
356.854;40
356.870;20
356.886;20
356.904;20
356.916;20
356.936;20
356.948;20
356.966;20
356.979;40
356.995;20
357.011;40
357.028;40
357.041;40
357.057;40
357.072;20
357.089;20
357.104;20
357.120;20
357.136;20
357.152;20
357.166;20
357.182;40
357.196;40
357.212;20
357.228;40
357.248;20
357.260;40
357.276;20
357.291;20
357.308;40
357.321;40
357.340;40
357.353;20
357.369;20
357.384;40
357.401;40
357.416;20
357.433;40
357.446;20
357.462;40
357.478;0
357.494;20
357.508;20
357.528;0
357.555;40
357.585;0
357.603;40
357.619;20
357.635;0
357.649;40
357.665;20
357.681;40
357.696;20
357.715;40
357.728;20
357.744;20
357.758;20
357.776;20
357.790;20
357.806;20
357.820;0
357.836;40
357.851;20
357.870;40
357.883;0
357.899;40
357.915;20
357.931;20
357.945;20
357.963;20
357.976;40
357.992;20
358.008;40
358.024;20
358.040;20
358.057;20
358.070;20
358.086;20
358.100;20
358.116;20
358.132;20
358.148;40
358.163;20
358.182;20
358.195;40
358.211;40
358.225;40
358.241;40
358.257;20
358.273;20
358.288;20
358.307;20
358.318;40
358.336;20
358.350;20
358.369;20
358.382;40
358.398;20
358.412;20
358.428;40
358.443;40
358.459;20
358.475;20
358.491;20
358.507;20
358.524;40
358.537;40
358.553;20
358.568;20
358.584;20
358.600;20
358.619;40
358.630;20
358.648;0
358.662;20
358.680;20
358.692;20
358.708;20
358.724;40
358.742;20
358.755;40
358.772;20
358.787;20
358.803;20
358.832;20
358.849;20
358.865;20
358.880;40
358.896;20
358.912;40
358.929;20
358.942;20
358.972;40
358.990;20
359.004;40
359.022;40
359.036;40
359.052;40
359.067;0
359.086;40
359.097;40
359.115;20
359.129;40
359.147;20
359.161;20
359.177;40
359.192;20
359.208;20
359.225;40
359.238;20
359.256;20
359.272;20
359.286;20
359.302;20
359.316;20
359.334;20
359.347;40
359.363;20
359.379;0
359.395;20
359.409;0
359.427;40
359.441;20
359.457;20
359.472;20
359.488;20
359.504;40
359.521;20
359.534;0
359.550;20
359.564;40
359.582;0
359.596;20
359.612;40
359.628;40
359.644;40
359.659;40
359.675;20
359.689;40
359.708;40
359.724;80
359.737;60
359.753;60
359.769;100
359.784;120
359.801;140
359.814;140
359.830;120
359.846;160
359.862;200
359.878;240
359.896;260
359.908;280
359.924;340
359.939;361
359.958;381
359.971;381
359.987;441
360.001;481
360.020;541
360.048;561
360.078;621
360.096;641
360.112;661
360.126;681
360.142;721
360.158;761
360.187;901
360.219;861
360.236;621
360.251;280
360.267;-120
360.283;-521
360.299;-721
360.313;-781
360.332;-621
360.345;-441
360.361;-80
360.376;300
360.393;561
360.408;741
360.436;561
360.454;280
360.472;-100
360.484;-340
360.500;-541
360.516;-641
360.532;-581
360.550;-381
360.563;-140
360.579;160
360.609;581
360.625;601
360.641;481
360.656;280
360.675;-40
360.689;-280
360.704;-441
360.732;-501
360.750;-340
360.766;-140
360.780;100
360.800;361
360.811;461
360.828;521
360.843;421
360.859;260
360.875;40
360.892;-200
360.905;-340
360.921;-441
360.936;-461
360.952;-300
360.968;-140
360.987;140
361.000;260
361.016;421
361.030;441
361.048;381
361.060;240
361.076;60
361.092;-140
361.108;-280
361.123;-361
361.141;-361
361.155;-280
361.172;-100
361.185;40
361.201;200
361.217;300
361.235;381
361.248;320
361.264;260
361.281;60
361.296;-40
361.324;-280
361.342;-300
361.360;-240
361.372;-160
361.388;-40
361.406;140
361.433;280
361.465;240
361.483;120
361.497;20
361.513;-100
361.529;-200
361.545;-240
361.566;-200
361.576;-120
361.590;-100
361.608;80
361.622;160
361.638;200
361.654;220
361.670;180
361.685;120
361.701;40
361.715;-20
361.731;-120
361.747;-160
361.763;-180
361.779;-100
361.795;-100
361.809;0
361.825;60
361.840;100
361.856;180
361.872;140
361.888;120
361.902;80
361.920;0
361.934;-40
361.950;-100
361.965;-120
361.981;-80
361.997;-100
362.013;-20
362.027;20
362.043;60
362.059;100
362.077;120
362.089;80
362.105;60
362.121;40
362.137;0
362.152;-20
362.168;-40
362.182;-20
362.198;-40
362.214;0
362.233;-20
362.246;40
362.262;0
362.277;40
362.293;40
362.307;40
362.323;40
362.339;40
362.358;20
362.369;20
362.387;0
362.401;20
362.419;20
362.446;40
362.464;20
362.480;40
362.494;20
362.510;40
362.541;40
362.571;20
362.589;40
362.605;0
362.619;40
362.635;40
362.651;20
362.667;20
362.681;40
362.701;20
362.713;40
362.729;20
362.744;20
362.761;20
362.776;20
362.792;0
362.806;20
362.822;20
362.837;40
362.856;20
362.869;40
362.886;40
362.901;20
362.917;40
362.931;20
362.947;20
362.961;20
362.979;20
362.993;20
363.009;40
363.025;20
363.043;20
363.056;20
363.072;20
363.086;40
363.102;0
363.118;20
363.136;40
363.150;40
363.166;40
363.181;20
363.198;20
363.211;20
363.227;20
363.243;20
363.259;0
363.273;20
363.289;40
363.304;20
363.323;20
363.336;40
363.352;20
363.368;40
363.385;20
363.398;20
363.414;40
363.429;20
363.445;20
363.461;20
363.477;40
363.493;20
363.510;40
363.523;20
363.539;40
363.553;40
363.573;20
363.585;20
363.601;40
363.616;20
363.633;20
363.648;40
363.664;20
363.678;40
363.694;20
363.710;20
363.726;40
363.741;20
363.757;20
363.787;0
363.817;20
363.835;20
363.851;20
363.865;20
363.881;20
363.897;20
363.913;40
363.928;20
363.958;40
363.977;20
363.990;0
364.006;20
364.022;20
364.038;20
364.053;40
364.072;20
364.083;20
364.101;20
364.115;20
364.131;40
364.147;20
364.163;40
364.177;40
364.195;20
364.208;40
364.224;40
364.240;40
364.256;20
364.272;40
364.289;0
364.302;20
364.318;20
364.333;40
364.349;40
364.365;20
364.381;40
364.395;20
364.414;20
364.427;20
364.443;40
364.457;40
364.473;20
364.489;20
364.505;20
364.520;40
364.539;20
364.550;20
364.568;40
364.582;40
364.601;20
364.614;20
364.632;40
364.645;20
364.662;20
364.675;0
364.691;20
364.710;20
364.726;20
364.739;20
364.755;20
364.769;20
